cell_id,province_name,district_name,sector_name ,cell_name
RWA.1.4.10.2_1,Amajyaruguru,Musanze,Musanze,Garuka
RWA.1.4.10.3_1,Amajyaruguru,Musanze,Musanze,Kabazungu
RWA.1.4.10.4_1,Amajyaruguru,Musanze,Musanze,Nyarubuye
RWA.1.4.10.5_1,Amajyaruguru,Musanze,Musanze,Rwambogo
RWA.1.4.11.1_1,Amajyaruguru,Musanze,Nkotsi,Bikara
RWA.1.4.11.2_1,Amajyaruguru,Musanze,Nkotsi,Gashinga
RWA.1.4.11.3_1,Amajyaruguru,Musanze,Nkotsi,Mubago
RWA.1.4.11.4_1,Amajyaruguru,Musanze,Nkotsi,Rugeshi
RWA.1.4.11.5_1,Amajyaruguru,Musanze,Nkotsi,Ruyumba
RWA.1.4.12.1_1,Amajyaruguru,Musanze,Nyange,Cyivugiza
RWA.1.4.12.2_1,Amajyaruguru,Musanze,Nyange,Kabeza
RWA.1.4.12.3_1,Amajyaruguru,Musanze,Nyange,Kamwumba
RWA.1.4.12.4_1,Amajyaruguru,Musanze,Nyange,Muhabura
RWA.1.4.12.5_1,Amajyaruguru,Musanze,Nyange,Ninda
RWA.1.4.13.1_1,Amajyaruguru,Musanze,Remera,Gasongero
RWA.1.4.13.2_1,Amajyaruguru,Musanze,Remera,Kamisave
RWA.1.4.13.3_1,Amajyaruguru,Musanze,Remera,Murandi
RWA.1.4.13.4_1,Amajyaruguru,Musanze,Remera,Murwa
RWA.1.4.13.5_1,Amajyaruguru,Musanze,Remera,Rurambo
RWA.1.4.14.1_1,Amajyaruguru,Musanze,Rwaza,Bumara
RWA.1.4.14.2_1,Amajyaruguru,Musanze,Rwaza,Kabushinge
RWA.1.4.14.3_1,Amajyaruguru,Musanze,Rwaza,Musezero
RWA.1.4.14.4_1,Amajyaruguru,Musanze,Rwaza,Nturo
RWA.1.4.14.5_1,Amajyaruguru,Musanze,Rwaza,Nyarubuye
